,0,1,2,3
2,Mag,-39,206,-640
8,Mag,-35,231,-626
14,Mag,-33,230,-626
20,Mag,-35,223,-626
26,Mag,-34,226,-626
32,Mag,-32,229,-629
38,Mag,-36,227,-625
44,Mag,-34,225,-625
50,Mag,-36,224,-626
56,Mag,-37,229,-628
62,Mag,-34,226,-626
68,Mag,-36,221,-627
74,Mag,-35,222,-627
80,Mag,-34,217,-630
86,Mag,-31,218,-629
92,Mag,-31,223,-627
98,Mag,-31,222,-627
104,Mag,-33,223,-628
110,Mag,-36,219,-627
116,Mag,-34,223,-626
122,Mag,-33,221,-626
128,Mag,-32,225,-623
134,Mag,-30,230,-626
140,Mag,-32,222,-625
146,Mag,-35,223,-624
152,Mag,-30,228,-627
158,Mag,-32,229,-627
164,Mag,-33,227,-625
170,Mag,-37,223,-625
176,Mag,-36,222,-625
182,Mag,-32,227,-623
188,Mag,-36,223,-625
194,Mag,-34,225,-623
200,Mag,-33,224,-627
206,Mag,-33,224,-626
212,Mag,-35,225,-625
218,Mag,-5,226,-624
224,Mag,-40,224,-623
230,Mag,-41,227,-624
236,Mag,-34,225,-624
242,Mag,-29,226,-625
248,Mag,-37,230,-624
254,Mag,-36,223,-625
260,Mag,-36,227,-624
266,Mag,-34,223,-625
272,Mag,-32,228,-626
278,Mag,-34,225,-626
284,Mag,-33,228,-623
290,Mag,-36,226,-626
296,Mag,-35,226,-622
302,Mag,-35,228,-625
308,Mag,-33,224,-623
314,Mag,-38,224,-626
320,Mag,-38,228,-623
326,Mag,-38,229,-624
332,Mag,-31,229,-625
338,Mag,-37,225,-625
344,Mag,-35,224,-626
