,0,1,2,3
1,Gyro,-0.81,-0.11,0.32
7,Gyro,0.20,-0.16,0.24
13,Gyro,0.09,0.25,-0.11
19,Gyro,-0.34,-0.49,0.49
25,Gyro,-0.46,-0.03,0.31
31,Gyro,0.67,0.25,-0.40
37,Gyro,-0.50,-0.35,-0.08
43,Gyro,-0.24,0.34,-0.71
49,Gyro,0.28,0.22,-0.09
55,Gyro,0.17,-0.05,0.03
61,Gyro,-0.21,-0.17,0.33
67,Gyro,-0.13,0.38,-0.36
73,Gyro,-0.37,-0.26,-0.35
79,Gyro,-0.05,-0.33,0.25
85,Gyro,-0.20,0.72,-0.53
91,Gyro,-0.16,0.12,-0.63
97,Gyro,0.97,0.61,-0.38
103,Gyro,0.08,0.43,0.44
109,Gyro,-0.36,-0.45,0.19
115,Gyro,0.33,0.13,0.37
121,Gyro,-0.16,-0.06,-0.18
127,Gyro,0.33,-0.39,0.02
133,Gyro,-0.01,0.34,0.38
139,Gyro,0.32,-0.21,0.20
145,Gyro,0.29,0.53,-0.05
151,Gyro,0.13,0.13,-0.09
157,Gyro,0.11,-0.15,-0.38
163,Gyro,-0.47,-0.60,0.55
169,Gyro,-0.58,-0.19,-0.11
175,Gyro,-0.10,0.06,0.40
181,Gyro,-0.65,0.52,-0.47
187,Gyro,0.01,-0.40,-0.55
193,Gyro,0.06,-0.44,0.61
199,Gyro,0.27,0.13,0.03
205,Gyro,-0.79,-0.16,0.30
211,Gyro,0.09,-0.06,-0.15
217,Gyro,-0.30,-0.58,0.47
223,Gyro,-0.25,-0.68,-0.17
229,Gyro,-0.95,-0.43,0.19
235,Gyro,-0.44,-0.22,0.02
241,Gyro,-0.60,-0.10,0.16
247,Gyro,0.58,0.93,-0.63
253,Gyro,-0.55,0.98,-0.16
259,Gyro,0.22,0.51,-0.55
265,Gyro,0.46,0.14,0.36
271,Gyro,-0.26,0.13,0.04
277,Gyro,-0.70,0.08,-0.05
283,Gyro,0.60,-0.13,-0.21
289,Gyro,-0.46,-0.55,0.85
295,Gyro,-0.19,-0.50,0.21
301,Gyro,-0.30,-0.38,-0.18
307,Gyro,0.06,0.35,-0.42
313,Gyro,-0.38,0.12,0.05
319,Gyro,-0.05,0.05,-0.40
325,Gyro,-0.30,-0.40,-0.70
331,Gyro,0.18,0.33,-0.30
337,Gyro,-0.32,-0.13,0.42
343,Gyro,0.24,0.48,-0.01
349,Gyro,0.31,0.33,-1.52
355,Gyro,-0.27,0.22,-0.21
361,Gyro,-0.52,-0.62,1.03
367,Gyro,0.00,0.28,0.04
373,Gyro,0.06,0.11,0.05
379,Gyro,0.08,-0.21,0.42
385,Gyro,-0.30,-0.04,-0.14
391,Gyro,0.04,0.08,0.29
397,Gyro,-0.35,-0.40,0.43
403,Gyro,-0.66,-0.33,0.27
409,Gyro,0.45,-0.27,0.46
415,Gyro,-0.61,-0.03,-0.06
421,Gyro,0.34,0.14,0.06
427,Gyro,-0.63,0.38,-0.77
433,Gyro,-0.10,-0.46,-0.15
439,Gyro,-0.16,0.18,-0.21
445,Gyro,-0.06,0.42,0.07
451,Gyro,0.03,0.07,-0.05
457,Gyro,-0.31,-0.39,0.06
463,Gyro,-0.68,-0.43,0.70
469,Gyro,0.08,-0.58,0.06
