,0,1,2,3
5,Al,176.50,,
11,Al,185.14,,
17,Al,193.19,,
23,Al,202.27,,
29,Al,210.17,,
35,Al,218.84,,
41,Al,225.64,,
47,Al,232.79,,
53,Al,240.37,,
59,Al,247.53,,
65,Al,254.18,,
71,Al,261.01,,
77,Al,266.82,,
83,Al,273.31,,
89,Al,278.79,,
95,Al,284.43,,
101,Al,290.34,,
107,Al,296.67,,
113,Al,301.39,,
119,Al,306.10,,
125,Al,311.85,,
131,Al,315.97,,
137,Al,320.61,,
143,Al,324.38,,
149,Al,328.42,,
155,Al,332.12,,
161,Al,335.90,,
167,Al,339.94,,
173,Al,342.70,,
179,Al,346.23,,
185,Al,349.58,,
191,Al,352.43,,
197,Al,355.27,,
203,Al,357.85,,
209,Al,360.70,,
215,Al,361.65,,
221,Al,363.63,,
227,Al,365.01,,
233,Al,366.13,,
239,Al,367.25,,
245,Al,368.46,,
251,Al,369.67,,
257,Al,369.58,,
263,Al,370.27,,
269,Al,370.36,,
275,Al,371.31,,
281,Al,371.82,,
287,Al,371.22,,
293,Al,370.27,,
299,Al,368.98,,
305,Al,368.63,,
311,Al,367.60,,
317,Al,367.17,,
323,Al,365.10,,
329,Al,363.28,,
335,Al,361.90,,
341,Al,359.75,,
347,Al,359.06,,
353,Al,356.30,,
359,Al,354.49,,
365,Al,348.64,,
371,Al,350.53,,
377,Al,340.89,,
383,Al,347.09,,
389,Al,332.80,,
395,Al,341.92,,
401,Al,341.15,,
407,Al,335.30,,
413,Al,329.63,,
419,Al,328.08,,
425,Al,327.39,,
431,Al,323.87,,
437,Al,323.70,,
443,Al,302.93,,
449,Al,298.13,,
455,Al,303.27,,
461,Al,301.22,,
467,Al,296.93,,
473,Al,289.74,,
479,Al,289.23,,
485,Al,279.04,,
491,Al,282.29,,
497,Al,281.35,,
503,Al,276.91,,
509,Al,274.60,,
515,Al,273.23,,
521,Al,272.89,,
527,Al,270.84,,
533,Al,270.92,,
539,Al,267.25,,
545,Al,266.99,,
551,Al,265.97,,
557,Al,263.83,,
563,Al,262.21,,
569,Al,261.18,,
575,Al,261.95,,
581,Al,261.10,,
587,Al,257.94,,
593,Al,255.89,,
599,Al,255.47,,
605,Al,255.47,,
611,Al,252.31,,
617,Al,251.45,,
623,Al,249.58,,
629,Al,248.64,,
635,Al,246.42,,
641,Al,245.32,,
647,Al,244.80,,
653,Al,243.95,,
659,Al,243.18,,
665,Al,242.76,,
671,Al,242.42,,
677,Al,240.46,,
683,Al,239.43,,
689,Al,237.56,,
695,Al,236.37,,
701,Al,234.67,,
707,Al,233.30,,
713,Al,231.60,,
719,Al,232.11,,
725,Al,230.66,,
731,Al,228.79,,
737,Al,227.77,,
743,Al,226.32,,
749,Al,225.22,,
755,Al,223.69,,
761,Al,221.48,,
767,Al,218.75,,
773,Al,218.92,,
779,Al,218.16,,
785,Al,216.54,,
791,Al,215.35,,
797,Al,214.93,,
803,Al,212.12,,
809,Al,211.70,,
815,Al,209.74,,
821,Al,207.88,,
827,Al,207.37,,
833,Al,205.16,,
839,Al,204.31,,
845,Al,202.27,,
851,Al,200.32,,
857,Al,200.32,,
863,Al,199.05,,
869,Al,198.20,,
875,Al,196.50,,
881,Al,195.40,,
887,Al,193.87,,
893,Al,192.26,,
899,Al,190.39,,
905,Al,187.59,,
911,Al,186.75,,
917,Al,185.82,,
923,Al,184.80,,
929,Al,184.29,,
935,Al,183.44,,
941,Al,182.00,,
947,Al,180.65,,
953,Al,178.61,,
959,Al,177.77,,
965,Al,176.24,,
971,Al,174.55,,
977,Al,172.43,,
983,Al,171.50,,
989,Al,170.06,,
995,Al,168.28,,
1001,Al,168.11,,
1007,Al,165.58,,
1013,Al,164.73,,
1019,Al,164.48,,
1025,Al,162.62,,
1031,Al,161.18,,
1037,Al,160.33,,
1043,Al,159.06,,
1049,Al,157.71,,
1055,Al,155.09,,
1061,Al,153.49,,
1067,Al,152.47,,
1073,Al,151.88,,
1079,Al,148.84,,
1085,Al,148.93,,
1091,Al,149.43,,
1097,Al,148.42,,
1103,Al,146.22,,
1109,Al,144.45,,
1115,Al,142.85,,
1121,Al,141.33,,
1127,Al,140.32,,
1133,Al,139.05,,
1139,Al,137.87,,
1145,Al,137.11,,
1151,Al,135.17,,
