,0,1,2,3
3,Temp,27.60,,
9,Temp,27.60,,
15,Temp,27.60,,
21,Temp,27.70,,
27,Temp,27.70,,
33,Temp,27.70,,
39,Temp,27.70,,
45,Temp,27.70,,
51,Temp,27.70,,
57,Temp,27.60,,
63,Temp,27.60,,
69,Temp,27.60,,
75,Temp,27.70,,
81,Temp,27.70,,
87,Temp,27.70,,
93,Temp,27.70,,
99,Temp,27.70,,
105,Temp,27.70,,
111,Temp,27.70,,
117,Temp,27.70,,
123,Temp,27.60,,
129,Temp,27.60,,
135,Temp,27.60,,
141,Temp,27.70,,
147,Temp,27.70,,
153,Temp,27.70,,
159,Temp,27.70,,
165,Temp,27.70,,
171,Temp,27.70,,
177,Temp,27.70,,
183,Temp,27.70,,
189,Temp,27.70,,
195,Temp,27.70,,
201,Temp,27.70,,
207,Temp,27.60,,
213,Temp,27.60,,
219,Temp,27.70,,
225,Temp,27.70,,
231,Temp,27.70,,
237,Temp,27.70,,
243,Temp,27.70,,
249,Temp,27.70,,
255,Temp,27.70,,
261,Temp,27.70,,
267,Temp,27.70,,
273,Temp,27.70,,
279,Temp,27.70,,
285,Temp,27.70,,
291,Temp,27.70,,
297,Temp,27.70,,
303,Temp,27.70,,
309,Temp,27.70,,
315,Temp,27.70,,
321,Temp,27.70,,
327,Temp,27.70,,
333,Temp,27.70,,
339,Temp,27.70,,
345,Temp,27.70,,
351,Temp,27.70,,
357,Temp,27.70,,
363,Temp,27.70,,
369,Temp,27.70,,
375,Temp,27.70,,
381,Temp,27.70,,
387,Temp,27.70,,
393,Temp,27.70,,
399,Temp,27.70,,
405,Temp,27.70,,
411,Temp,27.70,,
417,Temp,27.70,,
423,Temp,27.70,,
429,Temp,27.70,,
435,Temp,27.70,,
441,Temp,27.70,,
447,Temp,27.70,,
453,Temp,27.70,,
459,Temp,27.70,,
465,Temp,27.70,,
471,Temp,27.70,,
477,Temp,27.70,,
483,Temp,27.60,,
489,Temp,27.60,,
495,Temp,27.70,,
501,Temp,27.70,,
507,Temp,27.70,,
513,Temp,27.70,,
519,Temp,27.70,,
525,Temp,27.70,,
531,Temp,27.70,,
537,Temp,27.70,,
543,Temp,27.70,,
549,Temp,27.70,,
555,Temp,27.70,,
561,Temp,27.70,,
567,Temp,27.70,,
573,Temp,27.70,,
579,Temp,27.70,,
585,Temp,27.70,,
591,Temp,27.70,,
597,Temp,27.70,,
603,Temp,27.70,,
609,Temp,27.70,,
615,Temp,27.70,,
621,Temp,27.70,,
627,Temp,27.70,,
633,Temp,27.70,,
639,Temp,27.70,,
645,Temp,27.60,,
651,Temp,27.70,,
657,Temp,27.70,,
663,Temp,27.70,,
669,Temp,27.60,,
675,Temp,27.70,,
681,Temp,27.60,,
687,Temp,27.60,,
693,Temp,27.60,,
699,Temp,27.60,,
705,Temp,27.60,,
711,Temp,27.60,,
717,Temp,27.60,,
723,Temp,27.60,,
729,Temp,27.60,,
735,Temp,27.60,,
741,Temp,27.60,,
747,Temp,27.60,,
753,Temp,27.60,,
759,Temp,27.60,,
765,Temp,27.60,,
771,Temp,27.60,,
777,Temp,27.60,,
783,Temp,27.60,,
789,Temp,27.60,,
795,Temp,27.60,,
801,Temp,27.60,,
807,Temp,27.60,,
813,Temp,27.60,,
819,Temp,27.60,,
825,Temp,27.60,,
831,Temp,27.60,,
837,Temp,27.70,,
843,Temp,27.60,,
849,Temp,27.60,,
855,Temp,27.60,,
861,Temp,27.60,,
867,Temp,27.70,,
873,Temp,27.60,,
879,Temp,27.60,,
885,Temp,27.60,,
891,Temp,27.60,,
897,Temp,27.70,,
903,Temp,27.70,,
909,Temp,27.70,,
915,Temp,27.70,,
921,Temp,27.70,,
927,Temp,27.70,,
933,Temp,27.60,,
939,Temp,27.70,,
945,Temp,27.70,,
951,Temp,27.70,,
957,Temp,27.60,,
963,Temp,27.60,,
969,Temp,27.60,,
975,Temp,27.70,,
981,Temp,27.60,,
987,Temp,27.60,,
993,Temp,27.60,,
999,Temp,27.60,,
1005,Temp,27.60,,
1011,Temp,27.60,,
1017,Temp,27.70,,
1023,Temp,27.70,,
1029,Temp,27.70,,
1035,Temp,27.70,,
1041,Temp,27.70,,
1047,Temp,27.70,,
1053,Temp,27.70,,
1059,Temp,27.70,,
1065,Temp,27.70,,
1071,Temp,27.70,,
1077,Temp,27.70,,
1083,Temp,27.70,,
1089,Temp,27.70,,
1095,Temp,27.70,,
1101,Temp,27.70,,
1107,Temp,27.70,,
1113,Temp,27.70,,
1119,Temp,27.70,,
1125,Temp,27.70,,
1131,Temp,27.70,,
1137,Temp,27.70,,
1143,Temp,27.70,,
1149,Temp,27.70,,
1155,Temp,27.70,,
1161,Temp,27.70,,
1167,Temp,27.70,,
1173,Temp,27.70,,
1179,Temp,27.70,,
1185,Temp,27.70,,
1191,Temp,27.70,,
1197,Temp,27.60,,
1203,Temp,27.60,,
1209,Temp,27.60,,
1215,Temp,27.60,,
1221,Temp,27.60,,
1227,Temp,27.70,,
1233,Temp,27.70,,
1239,Temp,27.70,,
1245,Temp,27.70,,
1251,Temp,27.70,,
1257,Temp,27.70,,
1263,Temp,27.70,,
1269,Temp,27.70,,
1275,Temp,27.70,,
1281,Temp,27.70,,
1287,Temp,27.70,,
1293,Temp,27.70,,
1299,Temp,27.70,,
1305,Temp,27.70,,
1311,Temp,27.60,,
1317,Temp,27.60,,
1323,Temp,27.60,,
1329,Temp,27.60,,
1335,Temp,27.60,,
1341,Temp,27.60,,
1347,Temp,27.60,,
1353,Temp,27.60,,
1359,Temp,27.60,,
1365,Temp,27.60,,
1371,Temp,27.60,,
1377,Temp,27.60,,
1383,Temp,27.70,,
1389,Temp,27.60,,
1395,Temp,27.60,,
1401,Temp,27.60,,
1407,Temp,27.70,,
1413,Temp,27.70,,
1419,Temp,27.70,,
1425,Temp,27.70,,
1431,Temp,27.70,,
1437,Temp,27.70,,
1443,Temp,27.70,,
1449,Temp,27.70,,
1455,Temp,27.70,,
1461,Temp,27.70,,
1467,Temp,27.70,,
1473,Temp,27.70,,
1479,Temp,27.70,,
1485,Temp,27.70,,
1491,Temp,27.70,,
1497,Temp,27.70,,
1503,Temp,27.70,,
1509,Temp,27.70,,
1515,Temp,27.70,,
1521,Temp,27.70,,
1527,Temp,27.70,,
1533,Temp,27.70,,
1539,Temp,27.70,,
1545,Temp,27.70,,
1551,Temp,27.70,,
1557,Temp,27.80,,
1563,Temp,27.80,,
1569,Temp,27.80,,
1575,Temp,27.80,,
1581,Temp,27.80,,
1587,Temp,27.80,,
1593,Temp,27.80,,
1599,Temp,27.80,,
1605,Temp,27.80,,
1611,Temp,27.80,,
1617,Temp,27.80,,
1623,Temp,27.80,,
1629,Temp,27.80,,
1635,Temp,27.80,,
1641,Temp,27.80,,
1647,Temp,27.80,,
1653,Temp,27.80,,
1659,Temp,27.80,,
1665,Temp,27.80,,
1671,Temp,27.80,,
1677,Temp,27.80,,
1683,Temp,27.80,,
1689,Temp,27.80,,
1695,Temp,27.80,,
1701,Temp,27.80,,
1707,Temp,27.80,,
1713,Temp,27.80,,
1719,Temp,27.80,,
1725,Temp,27.80,,
1731,Temp,27.80,,
1737,Temp,27.80,,
1743,Temp,27.80,,
1749,Temp,27.80,,
1755,Temp,27.80,,
1761,Temp,27.90,,
1767,Temp,27.80,,
1773,Temp,27.90,,
1779,Temp,27.90,,
1785,Temp,27.90,,
1791,Temp,27.90,,
1797,Temp,27.90,,
1803,Temp,27.90,,
1809,Temp,27.90,,
1815,Temp,27.90,,
1821,Temp,27.90,,
1827,Temp,27.90,,
1833,Temp,27.90,,
