,0,1,2,3
4,Pre,100941.00,,
10,Pre,100940.00,,
16,Pre,100937.00,,
22,Pre,100937.00,,
28,Pre,100939.00,,
34,Pre,100942.00,,
40,Pre,100940.00,,
46,Pre,100937.00,,
52,Pre,100936.00,,
58,Pre,100940.00,,
64,Pre,100939.00,,
70,Pre,100941.00,,
76,Pre,100940.00,,
82,Pre,100937.00,,
88,Pre,100939.00,,
94,Pre,100936.00,,
100,Pre,100935.00,,
106,Pre,100936.00,,
112,Pre,100941.00,,
118,Pre,100938.00,,
124,Pre,100940.00,,
130,Pre,100940.00,,
136,Pre,100939.00,,
142,Pre,100938.00,,
148,Pre,100937.00,,
154,Pre,100941.00,,
160,Pre,100934.00,,
166,Pre,100934.00,,
172,Pre,100937.00,,
178,Pre,100935.00,,
184,Pre,100942.00,,
190,Pre,100938.00,,
196,Pre,100940.00,,
202,Pre,100942.00,,
208,Pre,100939.00,,
214,Pre,100938.00,,
220,Pre,100940.00,,
226,Pre,100937.00,,
232,Pre,100944.00,,
238,Pre,100940.00,,
244,Pre,100938.00,,
250,Pre,100938.00,,
256,Pre,100939.00,,
262,Pre,100944.00,,
268,Pre,100948.00,,
274,Pre,100940.00,,
280,Pre,100944.00,,
286,Pre,100938.00,,
292,Pre,100941.00,,
298,Pre,100942.00,,
304,Pre,100944.00,,
310,Pre,100943.00,,
316,Pre,100942.00,,
322,Pre,100939.00,,
328,Pre,100943.00,,
334,Pre,100951.00,,
340,Pre,100947.00,,
346,Pre,100945.00,,
