,0,1,2,3
1,Gyro,-2.20,4.73,0.66
7,Gyro,-0.32,1.39,0.57
13,Gyro,0.65,-3.69,0.65
19,Gyro,0.25,1.21,-0.50
25,Gyro,0.60,-1.30,0.60
31,Gyro,-0.41,1.27,0.42
37,Gyro,-0.18,-1.33,-0.63
43,Gyro,1.45,-2.77,-0.64
49,Gyro,2.97,-3.22,-0.77
55,Gyro,-2.42,2.81,1.00
61,Gyro,-1.17,-1.63,0.04
67,Gyro,-0.01,1.02,-0.26
73,Gyro,0.66,-1.53,0.19
79,Gyro,0.28,-2.07,0.56
85,Gyro,-0.04,-1.40,-1.52
91,Gyro,-1.32,0.36,0.68
97,Gyro,1.01,-1.86,0.35
103,Gyro,-0.55,-0.72,-0.22
109,Gyro,-0.56,0.07,0.25
115,Gyro,-0.10,-0.07,0.17
121,Gyro,0.54,0.14,0.24
127,Gyro,-0.08,1.07,0.70
133,Gyro,0.18,-0.77,-0.19
139,Gyro,-0.50,2.20,0.07
145,Gyro,1.40,-0.97,-0.54
151,Gyro,0.15,-1.16,-0.11
157,Gyro,-0.48,1.59,0.19
163,Gyro,-0.57,1.29,-0.00
169,Gyro,2.11,-2.78,-0.59
175,Gyro,-1.45,0.68,0.53
181,Gyro,-0.87,0.30,0.28
187,Gyro,-0.68,0.90,0.43
193,Gyro,0.04,-1.90,-1.07
199,Gyro,-0.79,0.90,-0.10
205,Gyro,1.09,-3.70,0.26
211,Gyro,-1.64,0.87,0.54
217,Gyro,-0.70,0.88,-0.57
223,Gyro,0.79,-1.04,-0.08
229,Gyro,-0.87,-0.55,0.53
235,Gyro,-1.84,1.07,0.84
241,Gyro,-0.46,-0.19,-0.45
247,Gyro,0.18,-0.88,-0.02
253,Gyro,-1.14,-2.71,-0.29
259,Gyro,-1.28,2.53,0.53
265,Gyro,0.67,-1.06,-1.00
271,Gyro,-0.78,-0.51,0.43
277,Gyro,-0.18,1.19,-0.31
283,Gyro,-0.35,-0.13,0.54
289,Gyro,-0.93,0.08,0.46
295,Gyro,1.25,-0.82,-0.83
301,Gyro,-0.27,-0.51,-0.03
307,Gyro,-1.64,0.54,1.40
313,Gyro,-0.94,1.04,0.23
319,Gyro,1.16,-1.91,-0.17
325,Gyro,-2.04,0.71,1.22
331,Gyro,-0.60,-0.54,0.10
337,Gyro,-0.35,-0.64,-0.02
343,Gyro,0.22,0.44,0.37
349,Gyro,0.68,0.90,-0.06
355,Gyro,1.00,-1.91,-0.12
361,Gyro,-0.24,1.78,0.14
367,Gyro,-0.70,-0.16,-0.11
373,Gyro,1.46,2.26,1.12
379,Gyro,2.04,-2.78,-0.93
385,Gyro,0.10,-0.41,-0.11
391,Gyro,0.83,-3.17,-0.25
397,Gyro,0.53,0.61,-0.54
403,Gyro,0.08,0.02,-0.07
409,Gyro,-1.01,0.95,0.50
415,Gyro,0.94,-2.21,-0.45
421,Gyro,0.03,0.70,-0.59
427,Gyro,-0.80,0.33,0.61
433,Gyro,-0.31,-0.70,-0.01
439,Gyro,-0.35,0.15,-0.05
445,Gyro,-0.42,0.87,-0.71
451,Gyro,-0.69,-0.46,-0.13
457,Gyro,-0.48,-0.02,0.29
463,Gyro,0.12,1.14,-0.36
469,Gyro,-0.23,-1.39,-0.38
475,Gyro,-1.57,0.95,0.45
481,Gyro,0.38,-1.41,0.06
487,Gyro,-0.12,0.29,0.03
493,Gyro,-1.10,1.66,-0.84
499,Gyro,-0.49,0.04,-0.84
505,Gyro,0.85,-1.60,-1.05
511,Gyro,-0.54,0.13,0.22
517,Gyro,-0.40,-0.01,0.46
523,Gyro,-1.39,0.63,0.65
529,Gyro,1.11,-2.06,-0.57
535,Gyro,-0.13,0.57,1.01
541,Gyro,-2.67,3.33,0.51
547,Gyro,-0.40,-1.18,0.37
553,Gyro,0.16,-0.28,-0.43
559,Gyro,-0.59,1.02,0.18
565,Gyro,-0.87,0.58,0.39
571,Gyro,-0.21,-0.28,-0.25
577,Gyro,-1.03,0.95,0.03
583,Gyro,1.01,-1.60,-0.19
589,Gyro,-0.26,0.67,-0.05
595,Gyro,0.22,-0.18,0.36
601,Gyro,0.51,-0.59,0.12
607,Gyro,-1.44,1.28,0.60
613,Gyro,-1.27,-0.05,-0.01
619,Gyro,-0.37,1.44,-0.11
625,Gyro,-0.27,0.30,0.21
631,Gyro,1.33,-2.69,-0.35
637,Gyro,-2.01,0.73,0.71
643,Gyro,0.48,-0.49,-0.67
649,Gyro,0.25,-0.16,0.26
