,0,1,2,3
3,Temp,25.50,,
9,Temp,25.50,,
15,Temp,25.50,,
21,Temp,25.50,,
27,Temp,25.50,,
33,Temp,25.50,,
39,Temp,25.50,,
45,Temp,25.50,,
51,Temp,25.50,,
57,Temp,25.50,,
63,Temp,25.50,,
69,Temp,25.50,,
75,Temp,25.60,,
81,Temp,25.50,,
87,Temp,25.60,,
93,Temp,25.60,,
99,Temp,25.60,,
105,Temp,25.60,,
111,Temp,25.60,,
117,Temp,25.60,,
123,Temp,25.60,,
129,Temp,25.60,,
135,Temp,25.60,,
141,Temp,25.60,,
147,Temp,25.60,,
153,Temp,25.60,,
159,Temp,25.60,,
165,Temp,25.60,,
171,Temp,25.60,,
177,Temp,25.60,,
183,Temp,25.60,,
189,Temp,25.60,,
195,Temp,25.60,,
201,Temp,25.60,,
207,Temp,25.60,,
213,Temp,25.60,,
219,Temp,25.60,,
225,Temp,25.60,,
231,Temp,25.60,,
237,Temp,25.60,,
243,Temp,25.60,,
249,Temp,25.60,,
255,Temp,25.60,,
261,Temp,25.60,,
267,Temp,25.60,,
273,Temp,25.60,,
279,Temp,25.60,,
285,Temp,25.60,,
291,Temp,25.60,,
297,Temp,25.60,,
303,Temp,25.60,,
309,Temp,25.60,,
315,Temp,25.60,,
321,Temp,25.60,,
327,Temp,25.60,,
333,Temp,25.60,,
339,Temp,25.60,,
345,Temp,25.60,,
351,Temp,25.60,,
357,Temp,25.60,,
363,Temp,25.60,,
369,Temp,25.60,,
375,Temp,25.60,,
381,Temp,25.60,,
387,Temp,25.60,,
393,Temp,25.60,,
399,Temp,25.60,,
405,Temp,25.60,,
411,Temp,25.60,,
417,Temp,25.60,,
423,Temp,25.60,,
429,Temp,25.60,,
435,Temp,25.60,,
441,Temp,25.60,,
447,Temp,25.60,,
453,Temp,25.60,,
459,Temp,25.60,,
465,Temp,25.60,,
471,Temp,25.60,,
477,Temp,25.60,,
483,Temp,25.60,,
489,Temp,25.60,,
495,Temp,25.70,,
501,Temp,25.70,,
507,Temp,25.70,,
513,Temp,25.70,,
519,Temp,25.70,,
525,Temp,25.70,,
531,Temp,25.60,,
537,Temp,25.70,,
543,Temp,25.60,,
549,Temp,25.70,,
555,Temp,25.70,,
561,Temp,25.70,,
567,Temp,25.60,,
573,Temp,25.70,,
579,Temp,25.70,,
585,Temp,25.70,,
591,Temp,25.70,,
597,Temp,25.70,,
603,Temp,25.70,,
609,Temp,25.70,,
615,Temp,25.70,,
621,Temp,25.70,,
627,Temp,25.70,,
633,Temp,25.70,,
639,Temp,25.70,,
645,Temp,25.70,,
651,Temp,25.70,,
657,Temp,25.70,,
663,Temp,25.70,,
669,Temp,25.70,,
675,Temp,25.70,,
681,Temp,25.70,,
687,Temp,25.70,,
693,Temp,25.70,,
699,Temp,25.70,,
705,Temp,25.70,,
711,Temp,25.70,,
717,Temp,25.70,,
723,Temp,25.70,,
729,Temp,25.70,,
735,Temp,25.80,,
741,Temp,25.80,,
747,Temp,25.80,,
753,Temp,25.80,,
759,Temp,25.80,,
765,Temp,25.80,,
771,Temp,25.80,,
777,Temp,25.80,,
783,Temp,25.80,,
789,Temp,25.80,,
795,Temp,25.80,,
801,Temp,25.80,,
807,Temp,25.80,,
813,Temp,25.80,,
819,Temp,25.80,,
825,Temp,25.80,,
831,Temp,25.80,,
837,Temp,25.80,,
843,Temp,25.80,,
849,Temp,25.80,,
855,Temp,25.80,,
861,Temp,25.80,,
867,Temp,25.80,,
873,Temp,25.80,,
879,Temp,25.90,,
888,Temp,25.70,,
894,Temp,25.80,,
900,Temp,25.80,,
906,Temp,25.80,,
912,Temp,25.80,,
918,Temp,25.80,,
924,Temp,25.80,,
930,Temp,25.80,,
936,Temp,25.80,,
942,Temp,25.80,,
948,Temp,25.80,,
954,Temp,25.80,,
960,Temp,25.80,,
966,Temp,25.80,,
972,Temp,25.80,,
978,Temp,25.80,,
984,Temp,25.80,,
990,Temp,25.80,,
996,Temp,25.80,,
1002,Temp,25.80,,
1008,Temp,25.80,,
1014,Temp,25.80,,
1020,Temp,25.80,,
1026,Temp,25.80,,
1032,Temp,25.80,,
1038,Temp,25.80,,
1044,Temp,25.80,,
1050,Temp,25.80,,
1056,Temp,25.80,,
1062,Temp,25.80,,
1068,Temp,25.80,,
1074,Temp,25.80,,
1080,Temp,25.80,,
1086,Temp,25.80,,
1092,Temp,25.80,,
1098,Temp,25.80,,
1104,Temp,25.80,,
1110,Temp,25.80,,
1116,Temp,25.80,,
1122,Temp,25.80,,
1128,Temp,25.80,,
1137,Temp,25.70,,
1143,Temp,25.80,,
1149,Temp,25.80,,
1155,Temp,25.80,,
1161,Temp,25.80,,
1167,Temp,25.80,,
1173,Temp,25.80,,
1179,Temp,25.80,,
1185,Temp,25.80,,
1191,Temp,25.80,,
1197,Temp,25.80,,
1203,Temp,25.80,,
1209,Temp,25.80,,
1215,Temp,25.80,,
1221,Temp,25.80,,
1227,Temp,25.80,,
1233,Temp,25.80,,
1239,Temp,25.80,,
1245,Temp,25.80,,
1251,Temp,25.80,,
1257,Temp,25.80,,
1263,Temp,25.80,,
1269,Temp,25.80,,
1275,Temp,25.80,,
1281,Temp,25.80,,
1287,Temp,25.80,,
1293,Temp,25.80,,
1299,Temp,25.80,,
1305,Temp,25.80,,
1311,Temp,25.80,,
1317,Temp,25.80,,
1323,Temp,25.80,,
1329,Temp,25.80,,
1335,Temp,25.80,,
1341,Temp,25.80,,
1347,Temp,25.80,,
1353,Temp,25.80,,
1359,Temp,25.80,,
1365,Temp,25.80,,
1371,Temp,25.80,,
1377,Temp,25.80,,
1383,Temp,25.80,,
1389,Temp,25.90,,
1395,Temp,25.90,,
1401,Temp,25.80,,
1407,Temp,25.80,,
1413,Temp,25.80,,
1419,Temp,25.90,,
1425,Temp,25.80,,
1431,Temp,25.90,,
1437,Temp,25.80,,
1443,Temp,25.90,,
1449,Temp,25.80,,
1455,Temp,25.90,,
1461,Temp,25.90,,
1467,Temp,25.90,,
1473,Temp,25.80,,
1479,Temp,25.90,,
1485,Temp,25.90,,
1491,Temp,25.80,,
1497,Temp,25.90,,
1503,Temp,25.90,,
1509,Temp,25.90,,
1515,Temp,25.90,,
1521,Temp,25.90,,
1527,Temp,25.80,,
1533,Temp,25.90,,
1539,Temp,25.90,,
1545,Temp,25.90,,
1551,Temp,25.90,,
1557,Temp,25.90,,
1563,Temp,25.80,,
1569,Temp,25.90,,
1575,Temp,25.90,,
1581,Temp,25.90,,
1587,Temp,25.90,,
1593,Temp,25.90,,
1599,Temp,25.90,,
1605,Temp,25.90,,
1611,Temp,25.90,,
1617,Temp,25.90,,
1623,Temp,25.90,,
1629,Temp,25.90,,
1635,Temp,25.90,,
1641,Temp,25.90,,
1647,Temp,25.90,,
1653,Temp,25.90,,
1659,Temp,25.90,,
1665,Temp,25.90,,
1671,Temp,25.90,,
1677,Temp,25.90,,
1683,Temp,25.90,,
1689,Temp,25.90,,
1695,Temp,25.90,,
1701,Temp,25.90,,
1707,Temp,25.90,,
1713,Temp,25.90,,
1719,Temp,25.90,,
1725,Temp,25.90,,
1731,Temp,25.90,,
1737,Temp,25.90,,
1743,Temp,25.90,,
1749,Temp,25.90,,
1755,Temp,25.90,,
1761,Temp,25.90,,
1767,Temp,25.90,,
1773,Temp,25.90,,
1779,Temp,25.90,,
1785,Temp,25.90,,
1791,Temp,25.90,,
1797,Temp,25.90,,
1803,Temp,25.90,,
1809,Temp,25.90,,
1815,Temp,25.90,,
1821,Temp,25.90,,
1827,Temp,25.90,,
1833,Temp,25.90,,
1839,Temp,25.90,,
1845,Temp,25.90,,
1851,Temp,25.90,,
1857,Temp,25.90,,
1863,Temp,25.90,,
1869,Temp,25.90,,
1875,Temp,25.90,,
1881,Temp,25.90,,
1887,Temp,25.90,,
1893,Temp,25.90,,
1899,Temp,25.90,,
1905,Temp,25.90,,
1911,Temp,25.90,,
1917,Temp,25.90,,
1923,Temp,25.90,,
1929,Temp,25.90,,
1935,Temp,25.90,,
1941,Temp,25.90,,
1947,Temp,25.90,,
1953,Temp,25.90,,
1959,Temp,25.90,,
1965,Temp,25.90,,
1971,Temp,25.90,,
1977,Temp,25.90,,
1983,Temp,25.90,,
1989,Temp,25.90,,
1995,Temp,25.90,,
2001,Temp,25.90,,
2007,Temp,25.90,,
2013,Temp,25.90,,
2019,Temp,25.90,,
2025,Temp,25.90,,
2031,Temp,25.90,,
2037,Temp,25.90,,
2043,Temp,25.90,,
2049,Temp,25.90,,
2055,Temp,25.90,,
2061,Temp,25.90,,
2067,Temp,25.90,,
2073,Temp,25.90,,
2079,Temp,25.90,,
2085,Temp,25.90,,
2091,Temp,25.90,,
2097,Temp,25.90,,
2103,Temp,25.90,,
2109,Temp,25.90,,
2115,Temp,25.90,,
2121,Temp,26.00,,
2127,Temp,26.00,,
2133,Temp,26.00,,
2139,Temp,25.90,,
2145,Temp,26.00,,
2151,Temp,26.00,,
2157,Temp,26.00,,
2163,Temp,25.90,,
2169,Temp,26.00,,
2175,Temp,25.90,,
2181,Temp,25.90,,
2187,Temp,25.90,,
2193,Temp,25.90,,
2199,Temp,25.90,,
2205,Temp,26.00,,
2211,Temp,25.90,,
2217,Temp,25.90,,
2223,Temp,25.90,,
2229,Temp,25.90,,
2235,Temp,25.90,,
