,0,1,2,3
2,Mag,-49,151,-437
8,Mag,-52,152,-437
14,Mag,-52,155,-437
20,Mag,-49,154,-436
26,Mag,-52,153,-436
32,Mag,-52,151,-440
38,Mag,-47,151,-437
44,Mag,-51,154,-437
50,Mag,-49,158,-439
56,Mag,-49,155,-437
62,Mag,-53,154,-435
68,Mag,-51,153,-437
74,Mag,-57,153,-436
80,Mag,-48,153,-437
86,Mag,-51,152,-437
92,Mag,-50,155,-436
98,Mag,-50,156,-437
104,Mag,-52,155,-434
110,Mag,-51,153,-435
116,Mag,-50,150,-436
122,Mag,-50,151,-434
128,Mag,-51,154,-435
134,Mag,-50,153,-438
140,Mag,-50,154,-439
146,Mag,-49,154,-437
152,Mag,-46,154,-438
158,Mag,-52,150,-437
164,Mag,-46,156,-436
170,Mag,-49,150,-437
176,Mag,-51,152,-438
182,Mag,-54,151,-437
188,Mag,-51,154,-439
194,Mag,-53,157,-436
200,Mag,-56,154,-436
206,Mag,-50,150,-434
212,Mag,-50,157,-438
218,Mag,-51,157,-436
224,Mag,-53,156,-435
230,Mag,-50,154,-435
236,Mag,-54,153,-437
242,Mag,-52,154,-433
248,Mag,-47,157,-437
254,Mag,-53,153,-433
260,Mag,-46,148,-434
266,Mag,-52,153,-434
272,Mag,-50,157,-436
278,Mag,-47,155,-435
284,Mag,-50,154,-437
290,Mag,-48,152,-438
296,Mag,-52,152,-435
302,Mag,-53,149,-436
308,Mag,-51,154,-436
314,Mag,-48,152,-437
320,Mag,-52,155,-435
326,Mag,-51,153,-436
332,Mag,-50,150,-437
338,Mag,-50,157,-435
344,Mag,-51,154,-435
350,Mag,-51,151,-436
356,Mag,-46,157,-437
362,Mag,-52,155,-438
368,Mag,-50,156,-436
374,Mag,-53,156,-438
380,Mag,-51,153,-434
386,Mag,-49,155,-436
392,Mag,-50,150,-434
398,Mag,-52,150,-436
404,Mag,-56,152,-436
410,Mag,-52,153,-437
416,Mag,-52,153,-436
422,Mag,-49,155,-438
428,Mag,-51,157,-435
434,Mag,-51,153,-435
440,Mag,-49,157,-437
446,Mag,-55,149,-434
452,Mag,-52,157,-437
458,Mag,-50,155,-437
464,Mag,-51,152,-436
470,Mag,-38,145,-429
476,Mag,-34,140,-417
482,Mag,-32,143,-416
488,Mag,-33,137,-415
494,Mag,-34,137,-417
500,Mag,-39,140,-416
506,Mag,-33,141,-418
512,Mag,-31,146,-418
518,Mag,-34,139,-419
524,Mag,-32,140,-417
530,Mag,-40,142,-417
536,Mag,-35,142,-417
542,Mag,-35,146,-418
548,Mag,-36,139,-417
554,Mag,-36,142,-416
560,Mag,-35,144,-418
566,Mag,-38,145,-419
572,Mag,-32,143,-418
578,Mag,-41,140,-419
584,Mag,-36,143,-419
590,Mag,-36,143,-417
596,Mag,-35,142,-417
602,Mag,-33,139,-419
608,Mag,-38,143,-418
614,Mag,-37,143,-419
620,Mag,-33,144,-416
626,Mag,-36,145,-418
632,Mag,-37,140,-417
638,Mag,-35,144,-417
644,Mag,-38,141,-419
650,Mag,-38,137,-418
656,Mag,-37,144,-418
662,Mag,-36,141,-417
668,Mag,-40,140,-417
674,Mag,-38,143,-418
680,Mag,-40,142,-418
686,Mag,-42,140,-420
692,Mag,-40,138,-419
698,Mag,-42,138,-418
704,Mag,-36,141,-418
710,Mag,-39,142,-417
713,Mag,-58,313,-591
719,Mag,-62,322,-593
725,Mag,-62,321,-593
731,Mag,-62,324,-592
737,Mag,-69,319,-592
743,Mag,-64,316,-592
749,Mag,-65,321,-591
755,Mag,-66,324,-593
761,Mag,-67,323,-591
767,Mag,-69,320,-593
773,Mag,-61,325,-589
779,Mag,-65,318,-592
785,Mag,-66,322,-589
791,Mag,-66,288,-590
797,Mag,-69,319,-591
803,Mag,-78,325,-592
809,Mag,-86,325,-591
815,Mag,-102,329,-589
821,Mag,-114,328,-587
827,Mag,-114,323,-589
833,Mag,-124,315,-589
839,Mag,-140,316,-589
845,Mag,-139,313,-588
851,Mag,-145,311,-589
857,Mag,-156,304,-592
863,Mag,-156,297,-594
869,Mag,-162,295,-596
875,Mag,-171,287,-598
881,Mag,-175,283,-597
887,Mag,-175,283,-599
893,Mag,-173,274,-599
899,Mag,-173,279,-600
905,Mag,-176,278,-598
911,Mag,-173,273,-600
917,Mag,-177,269,-601
923,Mag,-182,266,-601
929,Mag,-179,266,-603
935,Mag,-181,261,-601
941,Mag,-183,259,-601
947,Mag,-173,248,-599
953,Mag,-189,247,-598
959,Mag,-189,253,-601
965,Mag,-192,249,-599
971,Mag,-188,250,-598
977,Mag,-186,254,-600
983,Mag,-187,255,-600
989,Mag,-185,252,-598
995,Mag,-190,247,-598
1001,Mag,-190,251,-599
1007,Mag,-184,249,-601
1013,Mag,-179,252,-603
1019,Mag,-180,252,-605
1025,Mag,-187,244,-603
